gene	hoco_tf
FOXP1	FOXP1
NR1I2	NR1I2
KLF15	KLF15
GATA2	GATA2
ZIC4	ZIC4
ZIC1	ZIC1
HLTF	HLTF
SHOX2	SHOX2
MYNN	MYNN
SOX2	SOX2
ETV5	ETV5
BCL6	BCL6
HES1	HES1
MSX1	MSX1
HMX1	HMX1
KLF3	KLF3
GSX2	GSX2
CLOCK	CLOCK
REST	REST
ATOH1	ATOH1
NFKB1	NFKB1
LEF1	LEF1
PITX2	PITX2
ELF2	ELF2
SMAD1	SMAD1
IRF2	IRF2
ZFP42	ZFP42
DUX4	DUX4
IRX2	IRX2
ISL1	ISL1
FOXD1	FOXD1
SPZ1	SPZ1
MEF2C	MEF2C
PRDM6	PRDM6
IRF1	IRF1
TCF7	TCF7
PITX1	PITX1
EGR1	EGR1
PURA	PURA
CDX1	CDX1
HAND1	HAND1
FOXI1	FOXI1
MSX2	MSX2
PROP1	PROP1
IRF4	IRF4
FOXQ1	FOXQ1
FOXF2	FOXF2
FOXC1	FOXC1
RREB1	RREB1
GCM2	GCM2
ID4	ID4
E2F3	E2F3
SOX4	SOX4
PBX2	PBX2
RXRB	RXRB
HMGA1	HMGA1
SPDEF	SPDEF
ZNF76	ZNF76
PPARD	PPARD
TEAD3	TEAD3
ETV7	ETV7
NFYA	NFYA
TFEB	TFEB
SRF	SRF
CDC5L	CDC5L
RUNX2	RUNX2
GCM1	GCM1
BACH2	BACH2
PRDM1	PRDM1
NR2E1	NR2E1
FOXO3	FOXO3
HSF2	HSF2
HEY2	HEY2
MYB	MYB
OLIG3	OLIG3
ESR1	ESR1
TBP	TBP
MAFK	MAFK
FOXK1	FOXK1
ETV1	ETV1
MEOX2	MEOX2
AHR	AHR
SP4	SP4
EVX1	EVX1
CREB5	CREB5
TBX20	TBX20
GLI3	GLI3
IKZF1	IKZF1
DLX6	DLX6
DLX5	DLX5
CUX1	CUX1
HBP1	HBP1
FOXP2	FOXP2
FEZF1	FEZF1
PAX4	PAX4
IRF5	IRF5
NRF1	NRF1
KLF14	KLF14
NOBOX	NOBOX
GBX1	GBX1
MNX1	MNX1
SOX7	SOX7
GATA4	GATA4
EGR3	EGR3
THAP1	THAP1
CEBPD	CEBPD
SNAI2	SNAI2
SOX17	SOX17
PLAG1	PLAG1
HNF4G	HNF4G
HEY1	HEY1
E2F5	E2F5
OSR2	OSR2
GRHL2	GRHL2
MYC	MYC
MAFA	MAFA
HSF1	HSF1
SCRT1	SCRT1
FOXH1	FOXH1
DMRT1	DMRT1
RFX3	RFX3
GLIS3	GLIS3
NFIB	NFIB
CREB3	CREB3
PAX5	PAX5
KLF9	KLF9
NFIL3	NFIL3
BARX1	BARX1
NR4A3	NR4A3
KLF4	KLF4
LHX6	LHX6
ZBTB6	ZBTB6
LHX2	LHX2
NR6A1	NR6A1
PBX3	PBX3
LMX1B	LMX1B
PRRX2	PRRX2
GFI1B	GFI1B
RXRA	RXRA
LHX3	LHX3
SHOX	SHOX
ZBED1	ZBED1
ZFX	ZFX
ARX	ARX
NR0B1	NR0B1
ZNF41	ZNF41
ELK1	ELK1
GATA1	GATA1
TFE3	TFE3
FOXP3	FOXP3
KLF8	KLF8
FOXO4	FOXO4
TAF1	TAF1
ESX1	ESX1
ZIC3	ZIC3
SOX3	SOX3
MECP2	MECP2
SRY	SRY
HSFY1	HSFY1
TP73	P73
POU3F1	PO3F1
BARHL2	BARH2
RORC	RORG
ZBTB7B	ZBT7B
NHLH1	HEN1
ATF6	ATF6A
POU2F1	PO2F1
ESRRG	ERR3
ARID5B	ARI5B
NKX2-3	NKX23
TCF7L2	TF7L2
NKX6-2	NKX62
ZNF143	ZN143
ARNTL	BMAL1
CREB3L1	CR3L1
ESRRA	ERR1
RELA	TF65
PHOX2A	PHX2A
PGR	PRGR
POU2F3	PO2F3
BSX	BSH
ZNF384	ZN384
BHLHE41	BHE41
POU6F1	PO6F1
ZNF740	ZN740
HOXC13	HXC13
HOXC12	HXC12
HOXC11	HXC11
HOXC10	HXC10
HOXC8	HXC8
HOXC6	HXC6
POU4F1	PO4F1
ZNF219	ZN219
NFATC4	NFAC4
NKX2-1	NKX21
NKX2-8	NKX28
ZNF410	ZN410
ESRRB	ERR2
YY1	TYY1
MGA	MGAP
ONECUT1	HNF6
TCF12	HTF4
NR2F2	COT2
ZNF423	ZN423
CBFB	PEBB
NFATC3	NFAC3
ZNF232	ZN232
TP53	P53
SREBF1	SRBP1
NEUROD2	NDF2
THRA	THA
STAT5B	STA5B
STAT5A	STA5A
NFE2L1	NF2L1
HOXB1	HXB1
HOXB2	HXB2
HOXB3	HXB3
HOXB6	HXB6
HOXB7	HXB7
HOXB8	HXB8
HOXB13	HXB13
ZNF652	ZN652
TCF4	ITF2
ONECUT2	ONEC2
RAX	RX
NFATC1	NFAC1
ARID3A	ARI3A
TCF3	TFE2
ONECUT3	ONEC3
ZBTB7A	ZBT7A
ZNF333	ZN333
POU2F2	PO2F2
ZNF350	ZN350
ZNF524	ZN524
ZNF784	ZN784
ZSCAN4	ZSCA4
BCL11A	BC11A
TCF7L1	TF7L1
POU3F3	PO3F3
EN1	HME1
HOXD13	HXD13
HOXD12	HXD12
HOXD11	HXD11
HOXD10	HXD10
HOXD9	HXD9
HOXD8	HXD8
HOXD4	HXD4
HOXD3	HXD3
NFE2L2	NF2L2
NEUROD1	NDF1
NKX2-2	NKX22
MYBL2	MYBB
NFATC2	NFAC2
TFAP2C	AP2C
BHLHE23	BHE23
PKNOX1	PKNX1
SREBF2	SRBP2
BHLHE40	BHE40
THRB	THB
UBP1	UBIP1
ZNF589	ZN589
POU1F1	PIT1
ZNF148	ZN148
MECOM	EVI1
TP63	P63
ZBTB49	ZBT49
NKX3-2	NKX32
RBPJ	SUH
PHOX2B	PHX2B
NKX6-1	NKX61
NEUROG2	NGN2
POU4F2	PO4F2
NR3C2	MCR
NR2F1	COT1
NR3C1	GCR
POU4F3	PO4F3
EBF1	COE1
NKX2-5	NKX25
TFAP2A	AP2A
HIVEP1	ZEP1
ZSCAN16	ZSC16
ZKSCAN3	ZKSC3
POU5F1	PO5F1
TFAP2D	AP2D
TFAP2B	AP2B
POU3F2	PO3F2
HIVEP2	ZEP2
PLAGL1	PLAL1
UNCX	UNC4
TWIST1	TWST1
HOXA1	HXA1
HOXA2	HXA2
HOXA5	HXA5
HOXA7	HXA7
HOXA9	HXA9
HOXA10	HXA10
HOXA11	HXA11
HOXA13	HXA13
POU6F2	PO6F2
ZNF713	ZN713
MLXIPL	MLXPL
BHLHA15	BHA15
ZKSCAN1	ZKSC1
CREB3L2	CR3L2
ZNF282	ZN282
EN2	HME2
NKX3-1	NKX31
HMBOX1	HMBX1
BHLHE22	BHE22
MYBL1	MYBA
PRDM14	PRD14
POU5F1B	P5F1B
NR5A1	STF1
BARHL1	BARH1
YY2	TYY2
AR	ANDR
POU3F4	PO3F4
