pathway	gene
RESPONSE_TO_HEAT	ATR
RESPONSE_TO_HEAT	ZFAND1
RESPONSE_TO_HEAT	HSF1
RESPONSE_TO_HEAT	RBBP7
RESPONSE_TO_HEAT	TCIM
RESPONSE_TO_HEAT	PSIP1
RESPONSE_TO_HEAT	EIF2B3
RESPONSE_TO_HEAT	MTOR
RESPONSE_TO_HEAT	DAXX
RESPONSE_TO_HEAT	YWHAE
RESPONSE_TO_HEAT	TFEC
RESPONSE_TO_HEAT	POLR2D
RESPONSE_TO_HEAT	HDAC2
RESPONSE_TO_HEAT	EIF2B1
RESPONSE_TO_HEAT	NOS3
RESPONSE_TO_HEAT	RPS6KB1
RESPONSE_TO_HEAT	TRPV2
RESPONSE_TO_HEAT	IRAK1
RESPONSE_TO_HEAT	DNAJA3
HEAT_SHOCK_PROTEIN_BINDING	FKBP4
HEAT_SHOCK_PROTEIN_BINDING	STIP1
HEAT_SHOCK_PROTEIN_BINDING	AHSA1
HEAT_SHOCK_PROTEIN_BINDING	UNC45B
HEAT_SHOCK_PROTEIN_BINDING	DNAJB2
HEAT_SHOCK_PROTEIN_BINDING	PPID
HEAT_SHOCK_PROTEIN_BINDING	ZFP36
HEAT_SHOCK_PROTEIN_BINDING	EEF1AKMT3
HEAT_SHOCK_PROTEIN_BINDING	AHSA2P
HEAT_SHOCK_PROTEIN_BINDING	SLC12A2
HEAT_SHOCK_PROTEIN_BINDING	CDC37
HEAT_SHOCK_PROTEIN_BINDING	KDR
HEAT_SHOCK_PROTEIN_BINDING	ITGB2
HEAT_SHOCK_PROTEIN_BINDING	ERN1
HEAT_SHOCK_PROTEIN_BINDING	MVD
HEAT_SHOCK_PROTEIN_BINDING	GPR37
HEAT_SHOCK_PROTEIN_BINDING	BAG2
HEAT_SHOCK_PROTEIN_BINDING	SPN
HEAT_SHOCK_PROTEIN_BINDING	EIF2AK3
HEAT_SHOCK_PROTEIN_BINDING	SNCA
HEAT_SHOCK_PROTEIN_BINDING	PPEF2
HEAT_SHOCK_PROTEIN_BINDING	ARNTL
HEAT_SHOCK_PROTEIN_BINDING	ADORA1
HEAT_SHOCK_PROTEIN_BINDING	NOD2
HEAT_SHOCK_PROTEIN_BINDING	DNAJB9
HEAT_SHOCK_PROTEIN_BINDING	GUCY1B1
HEAT_SHOCK_PROTEIN_BINDING	APAF1
HEAT_SHOCK_PROTEIN_BINDING	ITGAM
HEAT_SHOCK_PROTEIN_BINDING	PRKN
HEAT_SHOCK_PROTEIN_BINDING	TFRC
HEAT_SHOCK_PROTEIN_BINDING	DNAJC9
HEAT_SHOCK_PROTEIN_BINDING	METTL21A
HEAT_SHOCK_PROTEIN_BINDING	TOMM34
HEAT_SHOCK_PROTEIN_BINDING	TFAM
HEAT_SHOCK_PROTEIN_BINDING	PDXP
HEAT_SHOCK_PROTEIN_BINDING	FKBP6
HEAT_SHOCK_PROTEIN_BINDING	BAG6
HEAT_SHOCK_PROTEIN_BINDING	CYP1A1
HEAT_SHOCK_PROTEIN_BINDING	FICD
HEAT_SHOCK_PROTEIN_BINDING	STAU2
HEAT_SHOCK_PROTEIN_BINDING	PTGES3L
HEAT_SHOCK_PROTEIN_BINDING	CDK5
HEAT_SHOCK_PROTEIN_BINDING	CDC37L1
HEAT_SHOCK_PROTEIN_BINDING	IQCG
HEAT_SHOCK_PROTEIN_BINDING	APOA1
HEAT_SHOCK_PROTEIN_BINDING	METTL21C
HEAT_SHOCK_PROTEIN_BINDING	FAF1
HEAT_SHOCK_PROTEIN_BINDING	METTL23
HEAT_SHOCK_PROTEIN_BINDING	USP19
HEAT_SHOCK_PROTEIN_BINDING	FKBP5
HEAT_SHOCK_PROTEIN_BINDING	ETFBKMT
HEAT_SHOCK_PROTEIN_BINDING	METTL18
HEAT_SHOCK_PROTEIN_BINDING	PACRG
HEAT_SHOCK_PROTEIN_BINDING	HDAC8
HEAT_SHOCK_PROTEIN_BINDING	CAMKMT
HEAT_SHOCK_PROTEIN_BINDING	GBP1
HEAT_SHOCK_PROTEIN_BINDING	GMEB1
HEAT_SHOCK_PROTEIN_BINDING	TSC2
HEAT_SHOCK_PROTEIN_BINDING	DNAJC8
HEAT_SHOCK_PROTEIN_BINDING	OGDH
HEAT_SHOCK_PROTEIN_BINDING	CDK1
HEAT_SHOCK_PROTEIN_BINDING	BAX
HEAT_SHOCK_PROTEIN_BINDING	NUP62
HEAT_SHOCK_PROTEIN_BINDING	RNF207
HEAT_SHOCK_PROTEIN_BINDING	NR3C1
HEAT_SHOCK_PROTEIN_BINDING	BCOR
HEAT_SHOCK_PROTEIN_BINDING	CSNK2A1
HEAT_SHOCK_PROTEIN_BINDING	UNC45A
HEAT_SHOCK_PROTEIN_BINDING	LMAN2
HEAT_SHOCK_PROTEIN_BINDING	TELO2
HEAT_SHOCK_PROTEIN_BINDING	HDAC6
HEAT_SHOCK_PROTEIN_BINDING	NPAS2
HEAT_SHOCK_PROTEIN_BINDING	CYP2E1
HEAT_SHOCK_PROTEIN_BINDING	AHR
HEAT_SHOCK_PROTEIN_BINDING	TSC1
HEAT_SHOCK_PROTEIN_BINDING	HTT
HEAT_SHOCK_PROTEIN_BINDING	BAK1
HEAT_SHOCK_PROTEIN_BINDING	LIMK1
HEAT_SHOCK_PROTEIN_BINDING	DNAJC10
HEAT_SHOCK_PROTEIN_BINDING	HIF1A
HEAT_SHOCK_PROTEIN_BINDING	METTL22
HEAT_SHOCK_PROTEIN_BINDING	RPS3
HEAT_SHOCK_PROTEIN_BINDING	CDKN1B
HEAT_SHOCK_PROTEIN_BINDING	SACS
HEAT_SHOCK_PROTEIN_BINDING	TTC4
HEAT_SHOCK_PROTEIN_BINDING	KPNB1
HEAT_SHOCK_PROTEIN_BINDING	PPP5C
MISFOLDED_PROTEIN_BINDING	CLU
MISFOLDED_PROTEIN_BINDING	DERL3
MISFOLDED_PROTEIN_BINDING	DNAJB11
MISFOLDED_PROTEIN_BINDING	RHBDD2
MISFOLDED_PROTEIN_BINDING	DNAJC3
MISFOLDED_PROTEIN_BINDING	EDEM1
MISFOLDED_PROTEIN_BINDING	F12
MISFOLDED_PROTEIN_BINDING	DERL2
MISFOLDED_PROTEIN_BINDING	DERL1
MISFOLDED_PROTEIN_BINDING	CLUL1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	ATF3
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	SERPINH1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	HSPA4L
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	DNAJC4
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	CREB3L3
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	BOK
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	HSPB8
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	BCL2L11
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	HSPA4
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	RNF185
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	DDIT3
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	ABCA7
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	PARP16
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	OPTN
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	PPP1R15A
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	HSPB2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	COMP
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	CTH
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	CHAC1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	PPP1R15B
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	STC2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	CREB3
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	KLHL15
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	SERP1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	MFN2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	UFD1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	SELENOS
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	HSPB7
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	FGF21
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	CREB3L4
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	XBP1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	PIK3R1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	ERN2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	CREBRF
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	ERP44
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	EDEM3
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	HERPUD1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	ERP27
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	TMBIM6
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	OS9
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	RNF5
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	STT3B
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	RHBDD1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	CUL3
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	THBS4
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	TMEM33
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	MANF
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	PTPN1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	UGGT2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	UBE2W
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	HERPUD2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	CREB3L1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	UFL1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	BHLHA15
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	ATF6
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	EIF2AK2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	VAPB
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	ATF6B
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	JKAMP
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	KBTBD6
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	RNF126
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	NCK1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	DAB2IP
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	UBE2J2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	FBXO6
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	AMFR
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	SERP2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	TBL2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	CREB3L2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	ATF4
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	AUP1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	PIGBOS1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	COPS5
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	QRICH1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	NGLY1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	UBXN4
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	ERLEC1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	DDRGK1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	TM7SF3
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	PTPN2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	BFAR
