pathway	gene
RESPONSE_TO_TEMPERATURE_STIMULUS	PLIN1
RESPONSE_TO_TEMPERATURE_STIMULUS	RHO
RESPONSE_TO_TEMPERATURE_STIMULUS	NGFR
RESPONSE_TO_TEMPERATURE_STIMULUS	GMPR
RESPONSE_TO_TEMPERATURE_STIMULUS	SLC25A27
RESPONSE_TO_TEMPERATURE_STIMULUS	GLRX2
RESPONSE_TO_TEMPERATURE_STIMULUS	ADRB2
RESPONSE_TO_TEMPERATURE_STIMULUS	SOD2
RESPONSE_TO_TEMPERATURE_STIMULUS	HMGCS2
RESPONSE_TO_TEMPERATURE_STIMULUS	SAXO1
RESPONSE_TO_TEMPERATURE_STIMULUS	UCP2
RESPONSE_TO_TEMPERATURE_STIMULUS	PRKAA1
RESPONSE_TO_TEMPERATURE_STIMULUS	CIDEA
RESPONSE_TO_TEMPERATURE_STIMULUS	LXN
RESPONSE_TO_TEMPERATURE_STIMULUS	ADRB1
RESPONSE_TO_TEMPERATURE_STIMULUS	HTR2A
RESPONSE_TO_TEMPERATURE_STIMULUS	UCP1
RESPONSE_TO_TEMPERATURE_STIMULUS	SLC9A1
RESPONSE_TO_TEMPERATURE_STIMULUS	VGF
RESPONSE_TO_TEMPERATURE_STIMULUS	TRPM8
RESPONSE_TO_TEMPERATURE_STIMULUS	PRDM12
RESPONSE_TO_TEMPERATURE_STIMULUS	ADM
RESPONSE_TO_TEMPERATURE_STIMULUS	LPL
RESPONSE_TO_TEMPERATURE_STIMULUS	TRPM3
RESPONSE_TO_TEMPERATURE_STIMULUS	ATP2B1
RESPONSE_TO_TEMPERATURE_STIMULUS	HTR2B
RESPONSE_TO_TEMPERATURE_STIMULUS	SLC12A5
RESPONSE_TO_TEMPERATURE_STIMULUS	RGS7
RESPONSE_TO_TEMPERATURE_STIMULUS	NTRK1
RESPONSE_TO_TEMPERATURE_STIMULUS	FGF16
RESPONSE_TO_TEMPERATURE_STIMULUS	ANO3
RESPONSE_TO_TEMPERATURE_STIMULUS	NFKBIA
RESPONSE_TO_TEMPERATURE_STIMULUS	PCSK1N
RESPONSE_TO_TEMPERATURE_STIMULUS	TMEM135
RESPONSE_TO_TEMPERATURE_STIMULUS	GRIK2
RESPONSE_TO_TEMPERATURE_STIMULUS	ZNF516
RESPONSE_TO_TEMPERATURE_STIMULUS	NR2F6
RESPONSE_TO_TEMPERATURE_STIMULUS	SLC27A1
RESPONSE_TO_TEMPERATURE_STIMULUS	EPHB1
RESPONSE_TO_TEMPERATURE_STIMULUS	ACOT11
RESPONSE_TO_TEMPERATURE_STIMULUS	CASP8
RESPONSE_TO_TEMPERATURE_STIMULUS	FOXO1
RESPONSE_TO_TEMPERATURE_STIMULUS	CIRBP
RESPONSE_TO_TEMPERATURE_STIMULUS	CDH8
RESPONSE_TO_TEMPERATURE_STIMULUS	RNF34
RESPONSE_TO_TEMPERATURE_STIMULUS	THRA
RESPONSE_TO_TEMPERATURE_STIMULUS	MMP24
RESPONSE_TO_TEMPERATURE_STIMULUS	ACADVL
RESPONSE_TO_TEMPERATURE_STIMULUS	ACADM
RESPONSE_TO_TEMPERATURE_STIMULUS	EIF2AK4
RESPONSE_TO_TEMPERATURE_STIMULUS	UCP3
RESPONSE_TO_TEMPERATURE_STIMULUS	APPL2
RESPONSE_TO_TEMPERATURE_STIMULUS	ARRB2
RESPONSE_TO_TEMPERATURE_STIMULUS	PLAC8
